Section Name,Expected Length (km),Start Point,End Point,Start Lat,Start Lng,End Lat,End Lng,Actual Distance (km),Distance Verified,Geocoding Status,Directions Status
Вакарел – Ихтиман,19,Между Вакарел,Ихтиман,42.5510779,23.7019207,42.2964251,25.4788783,202.413,False,success,success
"Разклон за Костенец – Разклон за Мухово (вкл. тунел ""Траянови врата"")",23,От разклона за Костенец,До разклона за Мухово,42.3090467,23.859738,42.42114369999999,23.9958465,32.693,False,success,success
"Разклон за Костенец – Тунел ""Траянови врата""",9,От разклона за Костенец,"До тунел ""Траянови врата""",42.3090467,23.859738,42.354889,23.9177034,14.404,False,success,success
Разклон за Велинград – Разклон за Калугерово,10,От разклона за Велинград,До разклона за Калугерово,42.0275439,23.9915523,42.326786,24.1699052,48.729,False,success,success
Пътен възел Пазарджик – Пътен възел Цалапица,22,От пътен възел Пазарджик,До пътен възел Цалапица,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пътен възел Пазарджик – Пътен възел Пловдив Запад,28,От пътен възел Пазарджик,До пътен възел Пловдив Запад,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пътен възел Пазарджик – Пътен възел Пловдив Север,35,От пътен възел Пазарджик,До пътен възел Пловдив Север,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пътен възел Пловдив Изток – Пютен възел Белозем,25,От пътен възел Пловдив Изток,До пютен възел Белозем,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Оризово – Пютен възел Чирпан,9,От пютен възел Оризово,До пютен възел Чирпан,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Чирпан – Първия разклон за Стара Загора,9,От пютен възел Чирпан,До първия разклон за Стара Загора,42.1984214,25.3254106,42.2964251,25.4788783,50.336,False,success,success
Пютен възел Стара Загора – Пютен възел Нова Загора,30,От пютен възел Стара Загора,До пютен възел Нова Загора,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Нова Загора – Пютен възел Сливен,36,От пютен възел Нова Загора,До пютен възел Сливен,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Сливен – Пютен възел Зимница,13,От пютен възел Сливен,До пютен възел Зимница,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Карнобат – Пютен възел Българово,26,От пютен възел Карнобат,До пютен възел Българово,42.2964251,25.4788783,42.2964251,25.4788783,0.0,False,success,success
Пютен възел Българово – Разклон за Айтос,30,От пютен възел Българово,До разклона за Айтос,42.2964251,25.4788783,42.32676439999999,27.028116,200.836,False,success,success
Разклон за Айтос – Северен обход на Бургас,8,От разклона за Айтос,До новото трасе на Северен обход на Бургас,42.32676439999999,27.028116,42.5936789,27.3773023,58.418,False,success,success
